"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"CD36",0.138690950048604,1.1487690181282,0.136665360350748,1.01482152970334,0.310190908943517,0.878826104525344,1.5016284225239,""
"SPC24",-0.229854778627175,0.794648994142308,0.229517281408194,-1.00147046539115,0.31659941191624,0.506768805655582,1.24606530008193,""
"COMP",0.119724916597693,1.12718673856478,0.120528985663288,0.993328832386909,0.32054973108501,0.890023373362717,1.42754671576306,""
"ITPR1",0.182060625934819,1.19968692381643,0.18398820746382,0.989523341981691,0.322407155233125,0.83648253764325,1.72059624727033,""
"CXCL13",-0.101253882119549,0.903703569581093,0.10438818914081,-0.969974505285909,0.33205920025968,0.736496368940633,1.10887191860608,""
"CENPW",-0.203672704232269,0.815729312252084,0.210746703347429,-0.966433642838538,0.333827236349534,0.539707122308016,1.23291741643442,""
"EZH2",-0.251770808368415,0.777422896474033,0.260605343301593,-0.966099947064578,0.333994171031345,0.466476378566551,1.29564193972546,""
"ESR1",0.100790404055221,1.10604479496343,0.105668988529969,0.953831445321683,0.340168969406758,0.899139568683851,1.36056195397606,""
"SPP1",0.132141528919545,1.14126983052373,0.139507838929059,0.947197877437838,0.343537956762984,0.868238518698694,1.50016014955871,""
"ESPL1",0.253628281862276,1.28869268477973,0.271029812452619,0.935794773154764,0.349378863164507,0.757614658056874,2.19204950451227,""
"NCAPH",-0.198630479596957,0.819852789699571,0.214059579366235,-0.92792147020489,0.353448306391905,0.538924632788523,1.24722188573987,""
"CXCL10",-0.0996595438975408,0.905145527902629,0.107846108297891,-0.924090312301887,0.355439296759158,0.732688940549943,1.11819406754957,""
"PRKAR2B",-0.166775164672475,0.846389888293644,0.181731413975153,-0.917701354017291,0.358775238609854,0.592762070358308,1.20853860061036,""
"CCL21",0.0688643215917586,1.07129084825035,0.0765811592978798,0.899233208574124,0.368528455267167,0.921979774214849,1.24478227575251,""
"PLEK2",0.145414715211911,1.15651909689,0.165231620941229,0.88006590011989,0.378823610652156,0.836579845740586,1.59881501841251,""
"PPARG",0.187694369335217,1.20646472637951,0.218309497853659,0.859762727598026,0.389919849054813,0.786482832892291,1.85071698341484,""
"STIL",-0.173804597730485,0.840461109622473,0.202409897420155,-0.858676378703498,0.390519086084481,0.565231042418297,1.24970998366556,""
"ASPM",-0.139819214553399,0.869515416923287,0.1632988566389,-0.856216739242571,0.391877905245275,0.631359977186233,1.19750552392754,""
"SHCBP1",0.23686001824887,1.26726371156527,0.277119082754003,0.854722871824493,0.392704585466637,0.73617795457038,2.18147976950409,""
"DTL",-0.190452896667489,0.826584691705671,0.224864702136072,-0.846966619742035,0.397013727426707,0.53196391853215,1.2843770578415,""
"ANGPT1",0.108140792484419,1.11420460597844,0.129398864141861,0.835716705873578,0.403314294761365,0.864610363049271,1.43585128867212,""
"CCNB1",0.276557587977243,1.31858288505252,0.33291827998521,0.830707127255161,0.406139099045206,0.686636491953791,2.53214159912496,""
"CDKN3",-0.213904244823395,0.807425696511299,0.258948976978744,-0.826047846641825,0.408776950635983,0.486054309425812,1.34128273887111,""
"TOP2A",-0.154020841366873,0.857254154476939,0.189430234000155,-0.813074228513845,0.416175501252266,0.591379534350099,1.24266167948402,""
"UHRF1",-0.174339004864531,0.840012081202285,0.215239814656932,-0.809975631796595,0.417954181208891,0.550900377296264,1.2808491800802,""
"NGFR",0.103823254866153,1.10940435576496,0.129418636206722,0.802228009112339,0.422421077140301,0.860852061507804,1.42972071465395,""
"TK1",-0.195266698907019,0.822615238212874,0.244835114945857,-0.797543681388188,0.425135344438852,0.509087838623042,1.32923196902586,""
"FGF7",0.138317826414786,1.14834046521432,0.175489136524809,0.788184551784107,0.430588763886048,0.814130537097639,1.61974740408304,""
"PGR",0.0781445551556852,1.08127895182054,0.0999769600795816,0.781625637481698,0.434434615413321,0.888867866712849,1.31534080084799,""
"E2F1",-0.171255187256831,0.84260652358645,0.221196087786075,-0.774223400471967,0.438798692449456,0.546188266168153,1.29989199250183,""
"CENPA",-0.132803458222643,0.875637174484122,0.174148719631012,-0.762586474962484,0.445710053165659,0.622427155571258,1.2318557352062,""
"MMP9",0.0974726411403522,1.102381281256,0.1302303667358,0.748463231606311,0.454180794957395,0.854042613817074,1.4229319118307,""
"RRM2",0.185255030238726,1.20352533634596,0.247601722708641,0.748197662811577,0.454340940547228,0.740791974860678,1.95530362690428,""
"AGT",-0.079478216519331,0.92359813893168,0.10962524558999,-0.724999210643392,0.468452514681842,0.745023327008421,1.14497558843338,""
"CCDC170",0.123747112812019,1.13172963488306,0.171613057299262,0.72108215283541,0.470858970959956,0.808472754974116,1.58423639954762,""
"PIMREG",-0.146345533233053,0.863859159560936,0.204057964615417,-0.717176286203121,0.473265329464404,0.57909323042576,1.28865717702945,""
"IL33",0.0764692168242009,1.07946896034293,0.107145211460552,0.713697007843928,0.475414557033544,0.874999872136359,1.33171817899678,""
"PLK1",0.170379136493789,1.18575432884705,0.241419030511707,0.705740289539961,0.480349660800969,0.738751656109515,1.90322866521071,""
"MKI67",0.152392122898716,1.16461681983114,0.218556616894341,0.697266113761215,0.485636270501207,0.75883495578015,1.78738779322465,""
