node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SLC2A4,751.0,1.15725,10.0,22.0,231.062,1.0,0.1,183.74246,11.51724,1193.6416,648048.0,0.25108,
OLFM4,1.0,0.0,1.0,2.0,32.833,1.0,0.1,140.23889,10.65345,0.0,0.0,0.0,
MLXIPL,3.0,0.61557,2.0,6.0,106.207,1.0,0.1,151.28651,10.89828,31.28364,20112.0,0.13333,
HMGA1,1.0,0.0,1.0,2.0,51.923,1.0,0.1,157.50913,11.10517,0.0,0.0,0.0,
LEP,1748.0,0.62951,23.0,46.0,268.418,11.0,0.11111,213.57063,11.97931,7325.06566,3887776.0,0.1256,
HLA-DQB2,1.0,0.0,1.0,2.0,6.703,1.0,0.07692,96.55712,8.76207,0.0,0.0,0.0,
COL6A6,1.0,0.0,1.0,2.0,39.359,1.0,0.1,141.57341,10.68448,0.0,0.0,0.0,
IRS1,922.0,0.63868,20.0,44.0,273.236,26.0,0.11111,228.9873,12.17586,13668.15322,7093256.0,0.10994,
COL4A6,1.0,0.0,1.0,2.0,37.208,1.0,0.1,141.57341,10.68448,0.0,0.0,0.0,
EMCN,5.0,0.61557,2.0,10.0,135.878,2.0,0.1,167.11865,11.23793,270.62926,82392.0,0.04444,
MEX3A,1.0,0.0,1.0,2.0,9.763,1.0,0.09091,116.20916,9.8,0.0,0.0,0.0,
PLIN1,974.0,1.11989,11.0,26.0,234.81,5.0,0.11111,180.50635,11.45862,5322.65819,3195752.0,0.20308,
SOX5,2.0,0.0,1.0,4.0,47.107,2.0,0.09091,136.32583,10.43621,353.34471,195896.0,0.0,
CD300LG,2.0,0.61557,2.0,4.0,66.964,1.0,0.1,147.17937,10.78966,0.0,0.0,0.33333,
FABP4,722.0,1.19332,9.0,18.0,226.92,2.0,0.1,174.54246,11.35862,354.88173,427480.0,0.3268,
PTHLH,2.0,0.0,1.0,4.0,87.689,1.0,0.1,156.28651,10.97931,22.93628,16408.0,0.0,
NCAM2,1.0,0.0,1.0,2.0,9.338,1.0,0.09091,111.20678,9.56034,0.0,0.0,0.0,
CHEK1,9.223372036854777E13,1.66206,56.0,112.0,279.427,5.0,0.09091,211.34369,11.51552,1847.31761,1016088.0,0.25064,
LIPE,1215.0,0.8108,14.0,30.0,228.722,5.0,0.1,182.40913,11.47414,5033.61883,2931864.0,0.16552,
SERPINE1,2930.0,0.90668,17.0,34.0,263.416,1.0,0.11111,206.50397,11.86379,1712.94634,1034048.0,0.19964,
ADIPOQ,2218.0,0.89618,18.0,36.0,262.889,5.0,0.11111,200.93016,11.77241,2883.20282,1447632.0,0.19365,
MUC1,16.0,0.64826,5.0,22.0,193.61,6.0,0.11111,200.20397,11.82931,5087.73056,1607120.0,0.06061,
CDC25A,1.223878344E9,1.62214,25.0,50.0,277.472,1.0,0.09091,193.34369,11.43276,365.24212,258056.0,0.3151,
CD209,2.0,0.61557,2.0,4.0,86.625,1.0,0.11111,174.19683,11.41552,0.0,0.0,0.33333,
MAOA,32.0,0.62053,9.0,18.0,101.032,4.0,0.1,156.33651,10.9569,2140.27608,2596312.0,0.16993,
CDKN2A,27544.0,1.1846,16.0,40.0,271.076,9.0,0.1,209.25675,11.79655,5604.50562,2671264.0,0.16923,
MAOB,32.0,0.62053,9.0,18.0,101.597,1.0,0.1,156.33651,10.9569,2140.27608,2596312.0,0.16993,
ZFP36,24.0,1.13679,4.0,8.0,129.4,1.0,0.1,156.95913,11.06034,0.0,0.0,0.42857,
CD3G,8.0,0.75786,4.0,8.0,77.949,3.0,0.09091,131.0917,10.22759,388.51357,1159152.0,0.28571,
PTN,4.0,0.61557,2.0,8.0,72.983,2.0,0.1,154.78651,10.93621,1202.30553,709176.0,0.07143,
KRT16,1.0,0.0,1.0,2.0,4.394,1.0,0.08333,99.15602,8.92414,0.0,0.0,0.0,
GSTM3,8.0,0.75786,4.0,8.0,40.645,1.0,0.1,145.81032,10.76552,195.81825,114784.0,0.28571,
UBE2S,4.79364505E8,1.73422,14.0,30.0,263.122,1.0,0.09091,187.45083,11.3931,2213.97286,3124912.0,0.35402,
SLAMF6,1.0,0.0,1.0,2.0,42.138,1.0,0.09091,128.57504,10.20345,0.0,0.0,0.0,
GSTM5,8.0,0.75786,4.0,8.0,39.716,1.0,0.1,145.81032,10.76552,195.81825,114784.0,0.28571,
PLN,2.0,0.0,1.0,4.0,37.413,2.0,0.09091,144.32583,10.7,1158.0,415432.0,0.0,
SLAMF7,2.0,0.61557,2.0,4.0,74.911,1.0,0.1,151.92698,10.95345,0.0,0.0,0.33333,
ATP1A2,1.0,0.0,1.0,2.0,12.07,1.0,0.08333,114.50047,9.70172,0.0,0.0,0.0,
ALDH1A2,12.0,0.94732,4.0,8.0,49.201,1.0,0.1,127.00119,10.08621,15.95927,4744.0,0.35714,
ADH1B,20.0,0.76079,6.0,16.0,78.019,1.0,0.1,135.66667,10.33276,611.86455,269512.0,0.15,
CD7,33.0,0.85588,6.0,14.0,170.29,2.0,0.1,167.79365,11.23103,1300.6878,712000.0,0.1978,
NR4A1,992.0,1.11735,10.0,20.0,193.506,6.0,0.1,177.02579,11.41897,1089.63804,470392.0,0.29474,
CTHRC1,1.0,0.0,1.0,2.0,49.286,1.0,0.1,147.05437,10.8,0.0,0.0,0.0,
CDH23,3.0,0.61557,2.0,6.0,1.701,2.0,0.07692,66.44467,5.7931,1158.0,1.4652928E7,0.13333,
ADGRV1,1.0,0.0,1.0,2.0,1.314,1.0,0.07143,58.97118,4.79483,0.0,0.0,0.0,
NR4A2,127.0,1.14118,6.0,14.0,163.008,2.0,0.1,158.87579,11.07069,1195.72133,514984.0,0.26374,
