baseMean,log2FoldChange,lfcSE,pvalue,padj,gene,regulation,log2FC_plot,negLog10Padj,gene_biotype
213.1022229,0.165064332,0.141773581,0.242410602,0.272852438,ADAM32,NS,0.165064332,0.564072162,protein_coding
990.6112298,-3.248316041,0.18229432,4.79E-72,1.10E-70,ADAM33,Down,-3.248316041,69.95934068,protein_coding
988.2064999,2.538588511,0.128702936,3.09E-87,1.08E-85,ADAM8,Up,2.538588511,84.96780103,protein_coding
7153.621381,0.543485359,0.115679507,2.62E-06,4.52E-06,ADAM9,NS,0.543485359,5.344701133,protein_coding
628.8567911,3.780622548,0.236889548,1.98E-58,2.96E-57,ADAMDEC1,Up,3.780622548,56.52864093,protein_coding
9442.184632,-1.670440149,0.138890516,1.97E-34,1.22E-33,ADAMTS1,Down,-1.670440149,32.91249612,protein_coding
553.7289084,-0.129988059,0.129225302,0.291508007,0.324096168,ADAMTS10,NS,-0.129988059,0.489326104,protein_coding
1776.14282,0.378931258,0.143297644,0.008009679,0.010649812,ADAMTS12,NS,0.378931258,1.972658078,protein_coding
207.3203654,-0.054487346,0.116995098,0.640224014,0.669640058,ADAMTS13,NS,-0.054487346,0.174158574,protein_coding
251.0913803,3.182432653,0.192161734,1.16E-62,2.00E-61,ADAMTS14,Up,3.182432653,60.69850667,protein_coding
1949.419974,-2.50616534,0.185143697,1.17E-42,1.00E-41,ADAMTS15,Down,-2.50616534,40.99883142,protein_coding
584.2750739,0.469948547,0.234274626,0.037457989,0.046557638,ADAMTS16,NS,0.469948547,1.332009061,protein_coding
226.1310955,1.171586693,0.160331013,1.24E-13,3.20E-13,ADAMTS17,Up,1.171586693,12.49518214,protein_coding
293.2214296,-1.761561492,0.215430429,6.38E-17,1.94E-16,ADAMTS18,Down,-1.761561492,15.71258248,protein_coding
38.44047178,1.04081922,0.278307986,8.45E-05,0.000131825,ADAMTS19,Up,1.04081922,3.880003153,protein_coding
4292.615203,0.339724403,0.129889188,0.009133917,0.012079222,ADAMTS2,NS,0.339724403,1.917961046,protein_coding
366.1604908,0.268193651,0.159034111,0.68699461,0.714122721,ADAMTS3,NS,0.268193651,0.146227149,protein_coding
2676.477483,1.421391215,0.177941688,4.20E-16,1.22E-15,ADAMTS4,Up,1.421391215,14.91294958,protein_coding
4027.83634,-2.509659116,0.137591051,3.61E-75,9.21E-74,ADAMTS5,Down,-2.509659116,73.03583618,protein_coding
129.6498367,0.685725409,0.128999009,7.59E-08,1.43E-07,ADAMTS6,NS,0.685725409,6.843180419,protein_coding
653.0125388,1.652042473,0.143803607,4.82E-31,2.64E-30,ADAMTS7,Up,1.652042473,29.57886594,protein_coding
167.6508863,-2.145165766,0.186597164,2.26E-31,1.25E-30,ADAMTS8,Down,-2.145165766,29.90224042,protein_coding
