"gene_symbol","Closeness_Latora","Harmonic","regulation","log2FoldChange","padj"
"SAA1",0.359912007719492,228.636713095156,"Down",-2.484551997,1.02e-26
"KLF4",0.359608299759559,228.863007355513,"Down",-3.032515486,3.89e-95
"OXTR",0.358447969732159,223.016287880629,"Down",-4.920957757,7.02e-113
"LRP2",0.35835362459245,228.469332091569,"Down",-1.212214089,1.65e-05
"CXCL9",0.358230784624241,233.794383666481,"Up",3.858212973,1.54e-74
"LCN2",0.358176363571241,227.741547218258,"Up",3.378570952,9.82e-24
"AURKB",0.358023144344438,275.027781414177,"Up",4.6550852,2.3e-239
"DPP4",0.357854599974086,225.802265380187,"Down",-1.193391855,5.07e-12
"ISG15",0.357541789237745,229.296758069717,"Up",3.22249764,1.61e-75
"TYMS",0.357322178309928,256.665406608793,"Up",2.677534061,3.54e-101
"TACC3",0.357065243823233,252.663256272861,"Up",3.041388947,2.9e-213
"ATAD2",0.356813068709278,238.916748657318,"Up",2.542374668,2.79e-121
"CLSPN",0.356263167916659,243.83990958579,"Up",3.95546588,1.08e-204
"FBN1",0.356203217620513,229.352074714764,"Down",-1.407018044,6.33e-16
"CNTFR",0.355840009423625,226.39742129969,"Down",-1.877015018,6.35e-15
"DUSP1",0.355825164691837,227.017745269025,"Down",-2.671019777,3.99e-74
"IDO1",0.355374736532523,227.346641904015,"Up",4.072249201,1.82e-62
"SLC2A4",0.355089503982819,228.161234025616,"Down",-4.878574755,2.83e-117
"BMP7",0.35428782954113,224.920992564936,"Up",1.39403982,1.52e-11
"NTRK2",0.354252341272047,231.007099221662,"Down",-2.746311874,8.74e-46
"LIPE",0.354131647829509,228.670873369278,"Down",-5.188537264,1.42e-113
"CDC20",0.353873665881027,269.161282384163,"Up",4.893878084,5.28e-268
"CCNB2",0.353439145701022,269.492732301529,"Up",4.138446592,2.03e-259
"ESPL1",0.35340985672277,261.451995025227,"Up",3.331768773,2.41e-154
